Año;PBI
2000;50431.92996
2001;51049.35372
2002;53988.67221
2003;58546.13082
2004;66155.89613
2005;74239.98365
2006;87568.32552
2007;102387.6858
2008;121465.9016
2009;122270.7274
2010;149049.7013
2011;171087.0039
2012;193351.0741
2013;202607.735
2014;202916.902
2015;192035.9921
2016;195740.3554
2017;215885.156
2018;226856.4838
2019;232446.7246
2020;205689.3907
2021;225432.8229
2022;244464.5579
2023;267346.3498
