IRUC;NROESTABLEC;CIIU;CCDD;CCPP;CCDI;CODORGJURIDICA;CODREGPROPIEDAD;FecAniversario;CODSECTOR;CODFORMATO;texto1;texto2;texto3;texto4;FAC_EXP;;
155507;0;4630;17;1;1;14;7;2017;4;M;1;1;0;0;8.5;;
13927;0;8521;12;1;14;14;7;1940;3;F2;1;1;0;0;8;;
14116;0;8521;15;1;40;14;7;1957;3;F2;1;1;0;0;7.6;;
45712;0;8521;15;1;8;14;7;1963;3;F2;1;1;0;0;7.6;;
24725;0;4923;15;1;40;14;7;2001;13;M;1;1;0;0;57.78;;
12662;0;8521;8;1;1;14;7;1993;3;F2;1;1;0;0;5;;
44578;0;8521;15;1;1;14;7;1984;3;M;1;1;0;0;47.866667;;
178537;0;4662;11;1;1;14;7;2017;4;M;1;1;0;0;25.16666667;;
13956;0;8521;2;1;1;14;7;1962;3;F2;1;1;0;0;2.5;;
152247;0;9609;15;1;22;14;7;2016;16;F2;1;1;0;0;2.083333;;
121588;0;4100;15;1;22;14;7;2015;5;F2;1;1;0;0;2.042168675;;
152702;0;4100;15;1;31;14;7;2017;5;F2;1;1;0;0;2.042168675;;
155245;0;4100;15;1;31;14;7;2010;5;F2;1;1;0;0;2.042168675;;
159456;0;4100;15;1;31;14;7;2018;5;F2;1;1;0;0;2.042168675;;
159783;0;4100;15;1;31;14;7;2018;5;F2;1;1;0;0;2.042168675;;
16673;0;8530;2;18;1;14;7;1996;14;F2;1;1;0;0;2;;
169248;0;8510;15;8;1;14;7;2009;3;M;1;1;0;0;16.666667;;
175668;0;4661;2;1;5;14;7;2017;4;M;1;1;0;0;14.55555556;;
87520;0;8510;4;7;1;14;7;1905;3;M;1;1;0;0;120;;
173630;0;7730;6;1;1;14;7;2010;16;M;1;1;0;0;11.181818;;
15822;0;8510;13;1;1;14;7;1952;3;F2;1;1;0;0;11;;
13804;0;8510;15;1;28;14;7;1966;3;F2;1;1;0;0;10.9375;;
158067;0;6810;15;1;22;14;7;2012;16;F2;1;1;0;0;1.921569;;
48463;0;321;15;1;22;14;7;2004;10;A;1;1;0;0;1.714285714;;
152397;0;4100;25;1;1;14;7;2016;5;F2;1;1;0;0;1.666666667;;
113806;0;8299;15;1;1;14;7;2012;16;F2;2;1;0;0;1.5;;
27822;0;8220;15;1;22;14;7;2007;16;F2;1;1;0;0;1.5;;
28811;0;8220;15;1;1;14;7;2009;16;F2;1;1;0;0;1.5;;
109048;0;8220;15;1;31;14;7;2004;16;F2;1;1;0;0;1.5;;
26574;0;7020;15;1;31;14;7;2005;16;F2;1;1;0;0;1.276316;;
29991;0;7490;15;1;31;14;7;2010;16;F2;1;1;0;0;1.25;;
177454;0;4690;15;1;22;14;7;2015;4;F1;1;1;0;0;1.241353937;;
27851;0;4290;15;1;3;14;7;2007;5;F2;1;1;0;0;1.226804124;;
159794;0;4290;15;1;41;14;7;2018;5;F2;1;1;0;0;1.226804124;;
155102;0;4220;15;1;31;14;7;2018;5;F2;1;1;0;0;1.226804124;;
175795;0;4220;15;1;22;14;7;2017;5;F2;1;1;0;0;1.226804124;;
175936;0;4220;15;1;16;14;7;2017;5;F2;1;1;0;0;1.226804124;;
176299;0;4220;15;1;30;14;7;2018;5;F2;1;1;0;0;1.226804124;;
11686;0;4210;15;1;31;14;7;1993;5;F2;1;1;0;0;1.226804124;;
28902;0;4210;15;1;31;14;7;2010;5;F2;1;1;0;0;1.226804124;;
113550;0;4210;15;1;31;14;7;2013;5;F2;1;1;0;0;1.226804124;;
118727;0;4210;15;1;31;14;7;2012;5;F2;1;1;0;0;1.226804124;;
122024;0;4210;15;1;31;14;7;2014;5;F2;2;1;0;0;1.226804124;;
122346;0;4210;15;1;31;14;7;2014;5;F2;1;1;0;0;1.226804124;;
152217;0;4210;15;1;31;14;7;2015;5;F2;1;1;0;0;1.226804124;;
152694;0;4210;15;1;31;14;7;2017;5;F2;1;1;0;0;1.226804124;;
158836;0;4210;15;1;22;14;7;2015;5;F2;1;1;0;0;1.226804124;;
176357;0;4210;15;1;22;14;7;2018;5;F2;1;1;0;0;1.226804124;;
120541;0;4390;15;1;22;14;7;2015;5;F2;1;1;0;0;1.205882353;;
121653;0;4390;15;1;31;14;7;2015;5;F2;1;1;0;0;1.205882353;;
24843;0;3600;15;1;31;14;7;2001;16;F2;1;1;0;0;1.2;;
157983;0;7110;7;1;1;14;7;2011;16;F2;1;1;0;0;1.142857;;
115261;0;5120;7;1;1;14;7;2011;13;F2;1;1;0;0;1.111111;;
9904;0;4530;15;1;1;14;7;1978;4;F1;1;1;0;0;1.102702703;;
21576;0;620;15;1;31;14;7;2000;8;F2;1;1;0;0;1.045454545;;
12697;0;8549;15;1;30;14;7;1984;3;F2;1;1;0;0;1.021277;;
13376;0;8530;15;1;12;14;7;1961;14;F2;1;1;0;0;1.021277;;
25437;0;8530;15;1;17;14;7;1999;14;F2;1;1;0;0;1.021277;;
12363;0;8521;15;1;31;14;7;1936;3;F2;1;1;0;0;1.021277;;
13093;0;8521;15;1;31;14;7;1965;3;F2;1;1;0;0;1.021277;;
14131;0;8521;15;1;40;14;7;1927;3;F2;1;1;0;0;1.021277;;
14138;0;8521;15;1;14;14;7;1893;3;F2;1;1;0;0;1.021277;;
14224;0;8521;15;1;40;14;7;1980;3;F2;1;1;0;0;1.021277;;
12070;0;8510;15;1;22;14;7;1993;3;F2;1;1;0;0;1.021277;;
12208;0;8510;15;1;22;14;7;1923;3;F2;1;1;0;0;1.021277;;
13707;0;8510;15;1;31;14;7;1918;3;F2;1;1;0;0;1.021277;;
13738;0;8510;15;1;40;14;7;1988;3;F2;1;1;0;0;1.021277;;
13818;0;8510;15;1;13;14;7;1957;3;F2;1;1;0;0;1.021277;;
14329;0;8510;15;1;30;14;7;1965;3;F2;1;1;0;0;1.021277;;
12809;0;8530;23;1;1;14;7;1985;14;F2;1;1;0;0;1;;
13837;0;8530;4;1;1;14;7;1961;14;F2;1;1;0;0;1;;
14408;0;8530;20;1;1;14;7;1969;14;F2;1;1;0;0;1;;
12877;0;8521;4;1;1;14;7;1901;3;F2;1;1;0;0;1;;
14313;0;8521;4;1;1;14;7;1961;3;F2;1;1;0;0;1;;
32639;0;8521;14;1;12;14;7;1966;3;F2;1;1;0;0;1;;
11770;0;8510;14;1;1;14;7;1948;3;F2;1;1;0;0;1;;
13832;0;8510;13;1;1;14;7;1960;3;F2;1;1;0;0;1;;
166662;0;7110;15;1;1;14;7;2015;16;M;1;1;0;0;1;;
10134;0;5110;15;1;40;14;7;1954;13;F2;1;1;0;0;1;;
11086;0;5110;15;1;31;14;7;1990;13;F2;1;1;0;0;1;;
16458;0;5110;15;1;22;14;7;1992;13;F2;1;1;0;0;1;;
32891;0;5110;15;1;40;14;7;1951;13;F2;1;1;0;0;1;;
145681;0;5110;15;1;31;14;7;2014;13;F2;1;1;0;0;1;;
178548;0;5110;15;1;22;14;7;2017;13;F2;1;1;0;0;1;;
159568;0;4220;15;1;22;14;7;2017;5;F2;1;1;0;0;1;;
159620;0;4220;15;1;30;14;7;2017;5;M;2;1;0;0;1;;
121560;0;4210;15;1;31;14;7;2015;5;F2;1;1;0;0;1;;
152228;0;4210;15;1;31;14;7;2015;5;F2;1;1;0;0;1;;
159520;0;4210;20;1;1;14;7;2017;5;M;3;1;0;0;1;;
121174;0;4100;15;1;22;14;7;2013;5;F2;1;1;0;0;1;;
159772;0;4100;15;1;30;14;7;2018;5;M;1;1;0;0;1;;
175925;0;4100;25;1;1;14;7;2017;5;F2;2;1;0;0;1;;
13870;0;8510;5;1;1;14;6;1968;3;F2;1;1;0;0;3;;
149186;0;4100;15;1;3;14;6;2013;5;F2;1;1;0;0;2.042168675;;
159643;0;4100;15;1;22;14;6;2017;5;F2;2;1;0;0;2.042168675;;
121460;0;8299;15;1;1;14;6;2014;16;F2;1;1;0;0;1.5;;
23629;0;4390;15;1;31;14;6;2008;5;F2;1;1;0;0;1.205882353;;
159799;0;4390;15;1;3;14;6;2018;5;F2;1;1;0;0;1.205882353;;
120434;0;4329;15;1;22;14;6;2015;5;F2;1;1;0;0;1.205882353;;
13714;0;8521;15;1;14;14;6;1930;3;F2;1;1;0;0;1.021277;;
13112;0;8510;15;1;5;14;6;1926;3;F2;1;1;0;0;1.021277;;
176187;0;4290;15;1;20;14;6;2018;5;F2;1;1;0;0;1;;
156156;0;8521;24;3;1;14;5;1980;3;M;1;1;0;0;5.5;;
36662;0;8510;15;1;15;14;5;1962;3;F2;1;1;0;0;10.9375;;
122187;0;7490;15;1;1;14;4;2015;16;F2;2;1;0;0;1.25;;
10121;0;6202;15;1;31;14;4;1955;16;F2;1;1;0;0;1.209877;;
121220;0;4390;15;1;31;14;4;2014;5;F2;2;1;0;0;1;;
172142;0;4659;7;1;2;14;2;2010;4;F1;1;1;0;0;8.764705882;;
121573;0;7110;15;1;31;14;2;2009;16;F2;1;1;0;0;23.65;;
171659;0;7490;15;1;22;14;2;2012;16;F2;1;1;0;0;2.944444;;
32125;0;4100;15;1;22;14;2;2010;5;F2;1;1;0;0;2.042168675;;
116058;0;4100;15;1;22;14;2;2012;5;F2;1;1;0;0;2.042168675;;
159832;0;4100;15;1;31;14;2;2018;5;F2;1;1;0;0;2.042168675;;
117631;0;6810;15;1;40;14;2;2001;16;F2;1;1;0;0;17.310345;;
176608;0;7110;15;1;31;14;2;2014;16;F2;1;1;0;0;17.25;;
146471;0;6209;15;1;22;14;2;2013;16;F2;1;1;0;0;16.0625;;
175828;0;6202;15;1;31;14;2;2017;16;F2;1;1;0;0;16.0625;;
176070;0;4630;15;1;40;14;2;2018;4;F1;1;1;0;0;15.10087719;;
178825;0;7310;15;1;31;14;2;2017;16;F2;1;1;0;0;11.117647;;
138925;0;8299;15;1;31;14;2;2014;16;F2;1;1;0;0;1.5;;
27730;0;8220;15;1;1;14;2;2007;16;F2;1;1;0;0;1.5;;
110574;0;8220;15;1;1;14;2;2012;16;F2;1;1;0;0;1.5;;
25888;0;7110;15;1;40;14;2;2003;16;F2;1;1;0;0;1.377358;;
28927;0;7110;15;1;22;14;2;2010;16;F2;1;1;0;0;1.377358;;
113189;0;7110;15;1;40;14;2;2011;16;F2;1;2;11;17;1.377358;;
119227;0;7110;15;1;20;14;2;2011;16;F2;2;1;0;0;1.377358;;
120557;0;7110;15;1;31;14;2;2009;16;F2;1;1;0;0;1.377358;;
134406;0;7110;15;1;22;14;2;2013;16;F2;1;1;0;0;1.377358;;
151521;0;7110;15;1;31;14;2;2013;16;F2;1;1;0;0;1.377358;;
157782;0;7110;15;1;31;14;2;2010;16;F2;1;1;0;0;1.377358;;
173678;0;7110;15;1;22;14;2;2008;16;F2;1;1;0;0;1.377358;;
177947;0;7110;15;1;31;14;2;2018;16;F2;1;1;0;0;1.377358;;
145677;0;1079;15;1;14;14;2;2014;11;D2;1;1;0;0;1.342105263;;
177494;0;2512;15;1;22;14;2;2015;11;D2;1;1;0;0;1.254545455;;
25199;0;4690;15;1;1;14;2;2002;4;F1;1;1;0;0;1.241353937;;
27818;0;4690;15;1;22;14;2;2007;4;F1;1;1;0;0;1.241353937;;
159151;0;4690;15;1;31;14;2;2016;4;F1;1;1;0;0;1.241353937;;
19449;0;4662;15;1;40;14;2;1999;4;F1;1;1;0;0;1.241353937;;
18248;0;4659;15;1;31;14;2;1998;4;F1;1;1;0;0;1.241353937;;
25406;0;4652;15;1;31;14;2;2003;4;F1;1;1;0;0;1.241353937;;
116661;0;4652;15;1;22;14;2;2013;4;F1;1;1;0;0;1.241353937;;
26825;0;4651;15;1;31;14;2;2005;4;F1;1;1;0;0;1.241353937;;
10222;0;4649;15;1;31;14;2;1969;4;F1;1;1;0;0;1.241353937;;
26064;0;4649;15;1;40;14;2;2004;4;F1;1;1;0;0;1.241353937;;
120596;0;4649;15;1;31;14;2;2013;4;F1;1;1;0;0;1.241353937;;
122232;0;4649;15;1;1;14;2;2015;4;F1;1;1;0;0;1.241353937;;
27049;0;4773;15;1;40;14;2;2005;4;F1;1;1;0;0;1.230985915;;
14130;0;4659;15;1;8;14;2;2000;4;F1;1;1;0;0;1.230985915;;
27654;0;4290;15;1;30;14;2;2006;5;F2;1;1;0;0;1.226804124;;
159225;0;4290;15;1;31;14;2;2016;5;F2;1;1;0;0;1.226804124;;
175904;0;4290;15;1;20;14;2;2017;5;F2;1;1;0;0;1.226804124;;
